logN,nnode,nnz_factor,ppn,make_graph_time,tuple_to_csr_time
6,2,6,4,0.804487,0.087189
16,2,6,4,0.871773,0.645523
17,2,6,4,0.943477,1.31343
18,2,6,4,1.0948,2.29009
6,2,10,4,0.804351,0.0866136
16,2,10,4,0.916261,0.84835
17,2,10,4,1.03681,1.79902
18,2,10,4,1.28771,3.50929
6,2,16,4,0.804898,0.0880654
16,2,16,4,0.984319,1.53409
17,2,16,4,1.17743,2.80172
18,2,16,4,1.57842,5.06489
6,2,6,4,0.804591,0.0870341
16,2,6,4,0.871421,0.646036
17,2,6,4,0.943509,1.24489
18,2,6,4,1.09503,2.31734
6,2,10,4,0.804558,0.0886304
16,2,10,4,0.915014,0.865147
17,2,10,4,1.03691,1.84696
18,2,10,4,1.28694,3.50705
6,2,16,4,0.804627,0.0883059
16,2,16,4,0.983384,1.36136
17,2,16,4,1.1774,2.7775
18,2,16,4,1.5799,5.08642
6,2,6,4,0.805596,0.0878427
16,2,6,4,0.871812,0.627016
17,2,6,4,0.944191,1.22671
18,2,6,4,1.09521,2.29917
6,2,10,4,0.802992,0.0887293
16,2,10,4,0.915749,0.875091
17,2,10,4,1.03717,1.88267
18,2,10,4,1.2892,3.53202
6,2,16,4,0.805413,0.0877646
16,2,16,4,0.983118,1.34338
17,2,16,4,1.1768,2.68804
18,2,16,4,1.57753,5.2167
19,2,6,4,1.40707,4.53285
20,2,6,4,2.04828,8.8429
21,2,6,4,3.3795,17.1246
19,2,10,4,1.80859,6.93888
20,2,10,4,2.88296,13.818
21,2,10,4,5.16701,27.5387
19,2,16,4,2.41289,10.6332
20,2,16,4,4.13012,20.9964
21,2,16,4,7.94548,42.7773
6,2,20,4,0.807176,0.091585
16,2,20,4,1.0282,1.72257
17,2,20,4,1.27039,3.33312
18,2,20,4,1.77449,6.21869
19,2,20,4,2.81217,12.4908
20,2,20,4,5.02337,26.2263
21,2,20,4,9.79205,52.8166
19,2,6,4,1.40503,4.31016
20,2,6,4,2.0487,8.75243
21,2,6,4,3.37827,17.2173
19,2,10,4,1.80639,6.88458
20,2,10,4,2.88015,12.6256
21,2,10,4,5.16297,27.8216
19,2,16,4,2.40926,10.5139
20,2,16,4,4.12731,21.1432
21,2,16,4,7.94559,42.6626
6,2,20,4,0.808436,0.089479
16,2,20,4,1.02809,1.76513
17,2,20,4,1.27057,3.22467
18,2,20,4,1.77141,6.44424
19,2,20,4,2.81296,12.8625
20,2,20,4,5.02506,25.9675
6,2,6,4,0.804961,0.0936203
6,2,6,4,0.805918,0.114141
16,2,6,4,0.870218,0.619959
16,2,6,4,0.871231,0.567013
17,2,6,4,0.943507,1.21501
17,2,6,4,0.943743,1.14497
18,2,6,4,1.09501,2.24292
18,2,6,4,1.09373,2.08782
19,2,6,4,1.40942,4.35013
19,2,6,4,1.40639,4.15977
20,2,6,4,2.04825,8.09574
20,2,6,4,2.04889,8.40262
21,2,6,4,3.37842,16.9535
21,2,6,4,3.3794,16.2422
6,2,10,4,0.803699,0.0938855
6,2,10,4,0.806294,0.111159
16,2,10,4,0.91562,0.86758
16,2,10,4,0.917144,0.78761
17,2,10,4,1.0369,1.78353
17,2,10,4,1.03767,1.70215
18,2,10,4,1.28924,3.31755
18,2,10,4,1.29252,3.17894
19,2,10,4,1.80663,6.25956
19,2,10,4,1.80608,6.47587
20,2,10,4,2.88112,12.7491
20,2,10,4,2.88122,13.1219
21,2,10,4,5.16296,27.0052
21,2,10,4,5.16329,26.2265
6,2,16,4,0.803759,0.0992352
6,2,16,4,0.805643,0.128748
16,2,16,4,0.983488,1.39157
16,2,16,4,0.983356,1.25609
17,2,16,4,1.17718,2.56139
17,2,16,4,1.17784,2.46875
18,2,16,4,1.57876,4.83047
18,2,16,4,1.57809,4.67404
19,2,16,4,2.40862,10.2351
19,2,16,4,2.40811,9.89262
20,2,16,4,4.12732,19.9235
20,2,16,4,4.12705,19.8231
21,2,16,4,7.94123,41.0386
21,2,16,4,7.94877,43.27
6,2,20,4,0.804441,0.0931622
6,2,20,4,0.804759,0.111563
16,2,20,4,1.02818,1.71303
16,2,20,4,1.02773,1.64644
17,2,20,4,1.27065,3.2227
17,2,20,4,1.27105,3.0829
18,2,20,4,1.77312,6.23714
18,2,20,4,1.77269,6.31606
19,2,20,4,2.81298,12.5514
19,2,20,4,2.81249,12.1679
20,2,20,4,5.02527,25.2998
20,2,20,4,5.02405,24.5537
21,2,20,4,9.8061,54.0243
21,2,20,4,9.79221,51.0518
6,2,6,4,0.805738,0.0944357
6,2,6,4,0.805098,0.116558
16,2,6,4,0.869852,0.632072
16,2,6,4,0.870714,0.552176
17,2,6,4,0.94708,1.23517
17,2,6,4,0.944439,1.12342
18,2,6,4,1.0939,2.28036
18,2,6,4,1.09384,2.14594
19,2,6,4,1.40886,4.37939
19,2,6,4,1.40443,3.78422
20,2,6,4,2.04871,8.55
20,2,6,4,2.04894,8.26793
21,2,6,4,3.38086,16.8035
21,2,6,4,3.37893,16.1862
6,2,10,4,0.804288,0.0931564
6,2,10,4,0.806696,0.111512
16,2,10,4,0.915642,0.825366
16,2,10,4,0.91557,0.818312
17,2,10,4,1.03699,1.7449
17,2,10,4,1.04038,1.67001
18,2,10,4,1.28773,3.32681
18,2,10,4,1.28862,3.11498
19,2,10,4,1.80693,6.64872
19,2,10,4,1.80667,6.41075
20,2,10,4,2.88286,13.3435
20,2,10,4,2.88428,12.7495
21,2,10,4,5.16294,26.8662
21,2,10,4,5.16349,27.7887
6,2,16,4,0.803865,0.0956381
6,2,16,4,0.804663,0.130352
16,2,16,4,0.983905,1.40346
16,2,16,4,0.984902,1.34952
17,2,16,4,1.17795,2.53478
17,2,16,4,1.17619,2.48926
18,2,16,4,1.57821,4.85466
18,2,16,4,1.57725,4.60633
19,2,16,4,2.4094,10.1601
19,2,16,4,2.40804,9.90817
20,2,16,4,4.12679,20.0503
20,2,16,4,4.12759,19.8563
21,2,16,4,7.94361,41.0841
21,2,16,4,7.94468,40.1876
6,2,20,4,0.805299,0.0945765
6,2,20,4,0.805641,0.109916
16,2,20,4,1.02882,1.68568
16,2,20,4,1.02825,1.63837
17,2,20,4,1.27084,3.26006
17,2,20,4,1.26985,3.06928
18,2,20,4,1.77769,6.1998
18,2,20,4,1.7721,6.17411
19,2,20,4,2.81162,12.261
19,2,20,4,2.8123,11.8708
20,2,20,4,5.02524,25.2876
20,2,20,4,5.03658,24.5217
21,2,20,4,9.82571,55.3139
21,2,20,4,9.83919,51.3881
6,2,6,4,0.803689,0.0944726
6,2,6,4,0.804452,0.115661
16,2,6,4,0.871177,0.599009
16,2,6,4,0.87161,0.561796
17,2,6,4,0.943529,1.19465
17,2,6,4,0.942965,1.17744
18,2,6,4,1.09517,2.20118
18,2,6,4,1.09411,2.13998
19,2,6,4,1.40555,4.37475
19,2,6,4,1.40478,4.13497
20,2,6,4,2.05071,8.72014
20,2,6,4,2.0488,8.21201
21,2,6,4,3.37905,16.0148
21,2,6,4,3.37862,16.3649
6,2,10,4,0.804661,0.0946793
6,2,10,4,0.804562,0.11178
16,2,10,4,0.917127,0.859633
16,2,10,4,0.915208,0.795949
17,2,10,4,1.0368,1.83108
17,2,10,4,1.03424,1.73704
18,2,10,4,1.28828,3.25011
18,2,10,4,1.28774,3.2464
19,2,10,4,1.80802,6.70757
19,2,10,4,1.80826,6.37333
20,2,10,4,2.8815,13.3676
20,2,10,4,2.88106,13.0198
21,2,10,4,5.16263,26.8836
21,2,10,4,5.16561,28.1104
6,2,16,4,0.806054,0.0933706
6,2,16,4,0.806478,0.127231
16,2,16,4,0.982473,1.24142
16,2,16,4,0.983921,1.34802
17,2,16,4,1.17739,2.51281
17,2,16,4,1.17795,2.49827
18,2,16,4,1.57792,4.88879
18,2,16,4,1.57856,4.60012
19,2,16,4,2.40966,10.2209
19,2,16,4,2.40909,9.92586
20,2,16,4,4.12824,20.1924
20,2,16,4,4.12613,19.8452
21,2,16,4,7.94386,41.2778
21,2,16,4,7.9468,40.3586
6,2,20,4,0.806304,0.0951794
6,2,20,4,0.804522,0.111029
16,2,20,4,1.0292,1.56501
16,2,20,4,1.02836,1.65218
17,2,20,4,1.27025,3.23878
17,2,20,4,1.27135,3.07931
18,2,20,4,1.7728,6.30761
18,2,20,4,1.77291,6.17225
19,2,20,4,2.81298,12.4022
19,2,20,4,2.81113,12.1962
20,2,20,4,5.02421,25.2309
20,2,20,4,5.02339,24.5696
21,2,20,4,9.79387,52.7169
21,2,20,4,9.79378,49.9909
6,12,16,4,0.804628,0.161303
16,12,16,4,0.834438,0.729403
17,12,16,4,0.867579,1.55113
18,12,16,4,0.93502,2.45653
19,12,16,4,1.07168,3.8218
20,12,16,4,1.3568,6.68667
21,12,16,4,1.99251,13.5458
6,12,16,4,0.804617,0.160236
16,12,16,4,0.835533,0.741061
17,12,16,4,0.867295,1.33782
18,12,16,4,0.934348,2.34773
19,12,16,4,1.07256,3.72694
