ncores, threads per core, updates per remote, local bytes, remote bytes, total refs,  ref/s, latency
1, 1, 0, 4096, 1073741824, 1000000, 6.61175e+06, 1.51246e-07
1, 1, 0, 8192, 1073741824, 1000000, 6.15756e+06, 1.62402e-07
1, 1, 0, 16384, 1073741824, 1000000, 6.85989e+06, 1.45775e-07
1, 1, 0, 32768, 1073741824, 1000000, 6.83835e+06, 1.46234e-07
1, 1, 0, 65536, 1073741824, 1000000, 6.84439e+06, 1.46105e-07
1, 1, 0, 131072, 1073741824, 1000000, 6.80383e+06, 1.46976e-07
1, 1, 0, 262144, 1073741824, 1000000, 6.8495e+06, 1.45996e-07
1, 1, 0, 4194304, 1073741824, 1000000, 6.84772e+06, 1.46034e-07
1, 1, 0, 8388608, 1073741824, 1000000, 6.85688e+06, 1.45839e-07
1, 1, 0, 16777216, 1073741824, 1000000, 6.85904e+06, 1.45793e-07
1, 1, 1, 4096, 1073741824, 2000000, 1.33556e+07, 7.4875e-08
1, 1, 1, 8192, 1073741824, 2000000, 1.32932e+07, 7.52265e-08
1, 1, 1, 16384, 1073741824, 2000000, 1.32681e+07, 7.53685e-08
1, 1, 1, 32768, 1073741824, 2000000, 1.31686e+07, 7.5938e-08
1, 1, 1, 65536, 1073741824, 2000000, 1.29388e+07, 7.7287e-08
1, 1, 1, 131072, 1073741824, 2000000, 1.26304e+07, 7.9174e-08
1, 1, 1, 262144, 1073741824, 2000000, 1.2333e+07, 8.10835e-08
1, 1, 1, 4194304, 1073741824, 2000000, 1.00439e+07, 9.9563e-08
1, 1, 1, 8388608, 1073741824, 2000000, 8.71065e+06, 1.14802e-07
1, 1, 1, 16777216, 1073741824, 2000000, 7.84166e+06, 1.27524e-07
1, 1, 2, 4096, 1073741824, 3000000, 1.96068e+07, 5.10027e-08
1, 1, 2, 8192, 1073741824, 3000000, 1.95174e+07, 5.12363e-08
1, 1, 2, 16384, 1073741824, 3000000, 1.93648e+07, 5.164e-08
1, 1, 2, 32768, 1073741824, 3000000, 1.90899e+07, 5.23837e-08
1, 1, 2, 65536, 1073741824, 3000000, 1.87672e+07, 5.32843e-08
1, 1, 2, 131072, 1073741824, 3000000, 1.81234e+07, 5.51773e-08
1, 1, 2, 262144, 1073741824, 3000000, 1.72601e+07, 5.7937e-08
1, 1, 2, 4194304, 1073741824, 3000000, 1.35889e+07, 7.35893e-08
1, 1, 2, 8388608, 1073741824, 3000000, 1.08344e+07, 9.22983e-08
1, 1, 2, 16777216, 1073741824, 3000000, 8.78784e+06, 1.13794e-07
1, 1, 4, 4096, 1073741824, 5000000, 3.12543e+07, 3.19956e-08
1, 1, 4, 8192, 1073741824, 5000000, 3.11981e+07, 3.20532e-08
1, 1, 4, 16384, 1073741824, 5000000, 3.0913e+07, 3.23488e-08
1, 1, 4, 32768, 1073741824, 5000000, 3.02717e+07, 3.30342e-08
1, 1, 4, 65536, 1073741824, 5000000, 2.97036e+07, 3.3666e-08
1, 1, 4, 131072, 1073741824, 5000000, 2.84843e+07, 3.5107e-08
1, 1, 4, 262144, 1073741824, 5000000, 2.59456e+07, 3.85422e-08
1, 1, 4, 4194304, 1073741824, 5000000, 1.94793e+07, 5.13366e-08
1, 1, 4, 8388608, 1073741824, 5000000, 1.45188e+07, 6.88762e-08
1, 1, 4, 16777216, 1073741824, 5000000, 1.02085e+07, 9.7958e-08
1, 1, 8, 4096, 1073741824, 9000000, 5.17992e+07, 1.93053e-08
1, 1, 8, 8192, 1073741824, 9000000, 5.16912e+07, 1.93457e-08
1, 1, 8, 16384, 1073741824, 9000000, 5.12753e+07, 1.95026e-08
1, 1, 8, 32768, 1073741824, 9000000, 4.96415e+07, 2.01444e-08
1, 1, 8, 65536, 1073741824, 9000000, 4.79509e+07, 2.08547e-08
1, 1, 8, 131072, 1073741824, 9000000, 4.59202e+07, 2.17769e-08
1, 1, 8, 262144, 1073741824, 9000000, 3.96593e+07, 2.52148e-08
1, 1, 8, 4194304, 1073741824, 9000000, 2.6625e+07, 3.75587e-08
1, 1, 8, 8388608, 1073741824, 9000000, 2.00205e+07, 4.99488e-08
1, 1, 8, 16777216, 1073741824, 9000000, 1.19284e+07, 8.38333e-08
1, 1, 16, 4096, 1073741824, 17000000, 8.41226e+07, 1.18874e-08
1, 1, 16, 8192, 1073741824, 17000000, 8.40556e+07, 1.18969e-08
1, 1, 16, 16384, 1073741824, 17000000, 8.32966e+07, 1.20053e-08
1, 1, 16, 32768, 1073741824, 17000000, 7.9953e+07, 1.25074e-08
1, 1, 16, 65536, 1073741824, 17000000, 7.51245e+07, 1.33112e-08
1, 1, 16, 131072, 1073741824, 17000000, 7.06171e+07, 1.41609e-08
1, 1, 16, 262144, 1073741824, 17000000, 5.88806e+07, 1.69835e-08
1, 1, 16, 4194304, 1073741824, 17000000, 3.38275e+07, 2.95618e-08
1, 1, 16, 8388608, 1073741824, 17000000, 2.66317e+07, 3.75492e-08
1, 1, 16, 16777216, 1073741824, 17000000, 1.39373e+07, 7.17499e-08
1, 1, 32, 4096, 1073741824, 33000000, 1.26687e+08, 7.89348e-09
1, 1, 32, 8192, 1073741824, 33000000, 1.26523e+08, 7.9037e-09
1, 1, 32, 16384, 1073741824, 33000000, 1.25816e+08, 7.94812e-09
1, 1, 32, 32768, 1073741824, 33000000, 1.20138e+08, 8.32373e-09
1, 1, 32, 65536, 1073741824, 33000000, 1.08734e+08, 9.19676e-09
1, 1, 32, 131072, 1073741824, 33000000, 1.02023e+08, 9.80167e-09
1, 1, 32, 262144, 1073741824, 33000000, 8.10468e+07, 1.23385e-08
1, 1, 32, 4194304, 1073741824, 33000000, 3.92256e+07, 2.54935e-08
1, 1, 32, 8388608, 1073741824, 33000000, 3.27536e+07, 3.0531e-08
1, 1, 32, 16777216, 1073741824, 33000000, 1.57941e+07, 6.33149e-08
1, 2, 0, 4096, 1073741824, 2000000, 1.36677e+07, 7.3165e-08
1, 2, 0, 8192, 1073741824, 2000000, 1.36681e+07, 7.3163e-08
1, 2, 0, 16384, 1073741824, 2000000, 1.36316e+07, 7.3359e-08
1, 2, 0, 32768, 1073741824, 2000000, 1.36685e+07, 7.3161e-08
1, 2, 0, 65536, 1073741824, 2000000, 1.36688e+07, 7.31595e-08
1, 2, 0, 131072, 1073741824, 2000000, 1.36501e+07, 7.32595e-08
1, 2, 0, 262144, 1073741824, 2000000, 1.36532e+07, 7.3243e-08
1, 2, 0, 4194304, 1073741824, 2000000, 1.36617e+07, 7.31975e-08
1, 2, 0, 8388608, 1073741824, 2000000, 1.36641e+07, 7.31845e-08
1, 2, 0, 16777216, 1073741824, 2000000, 1.3664e+07, 7.3185e-08
1, 2, 1, 4096, 1073741824, 4000000, 2.62728e+07, 3.80623e-08
1, 2, 1, 8192, 1073741824, 4000000, 2.61677e+07, 3.8215e-08
1, 2, 1, 16384, 1073741824, 4000000, 2.59907e+07, 3.84753e-08
1, 2, 1, 32768, 1073741824, 4000000, 2.54327e+07, 3.93195e-08
1, 2, 1, 65536, 1073741824, 4000000, 2.48756e+07, 4.02e-08
1, 2, 1, 131072, 1073741824, 4000000, 2.43198e+07, 4.11188e-08
1, 2, 1, 262144, 1073741824, 4000000, 2.38271e+07, 4.1969e-08
1, 2, 1, 4194304, 1073741824, 4000000, 1.62517e+07, 6.1532e-08
1, 2, 1, 8388608, 1073741824, 4000000, 1.47255e+07, 6.79095e-08
1, 2, 1, 16777216, 1073741824, 4000000, 1.39429e+07, 7.1721e-08
1, 2, 2, 4096, 1073741824, 6000000, 3.86095e+07, 2.59003e-08
1, 2, 2, 8192, 1073741824, 6000000, 3.82504e+07, 2.61435e-08
1, 2, 2, 16384, 1073741824, 6000000, 3.77658e+07, 2.6479e-08
1, 2, 2, 32768, 1073741824, 6000000, 3.7163e+07, 2.69085e-08
1, 2, 2, 65536, 1073741824, 6000000, 3.57226e+07, 2.79935e-08
1, 2, 2, 131072, 1073741824, 6000000, 3.38644e+07, 2.95295e-08
1, 2, 2, 262144, 1073741824, 6000000, 3.26577e+07, 3.06207e-08
1, 2, 2, 4194304, 1073741824, 6000000, 1.93044e+07, 5.18017e-08
1, 2, 2, 8388608, 1073741824, 6000000, 1.53023e+07, 6.53495e-08
1, 2, 2, 16777216, 1073741824, 6000000, 1.33452e+07, 7.49333e-08
1, 2, 4, 4096, 1073741824, 10000000, 6.15544e+07, 1.62458e-08
1, 2, 4, 8192, 1073741824, 10000000, 6.09801e+07, 1.63988e-08
1, 2, 4, 16384, 1073741824, 10000000, 5.92031e+07, 1.6891e-08
1, 2, 4, 32768, 1073741824, 10000000, 5.85076e+07, 1.70918e-08
1, 2, 4, 65536, 1073741824, 10000000, 5.53128e+07, 1.8079e-08
1, 2, 4, 131072, 1073741824, 10000000, 5.09266e+07, 1.96361e-08
1, 2, 4, 262144, 1073741824, 10000000, 4.69349e+07, 2.13061e-08
1, 2, 4, 4194304, 1073741824, 10000000, 2.40195e+07, 4.16328e-08
1, 2, 4, 8388608, 1073741824, 10000000, 1.51859e+07, 6.58507e-08
1, 2, 4, 16777216, 1073741824, 10000000, 1.16694e+07, 8.56945e-08
1, 2, 8, 4096, 1073741824, 18000000, 1.01729e+08, 9.83e-09
1, 2, 8, 8192, 1073741824, 18000000, 9.24841e+07, 1.08127e-08
1, 2, 8, 16384, 1073741824, 18000000, 9.68174e+07, 1.03287e-08
1, 2, 8, 32768, 1073741824, 18000000, 9.43886e+07, 1.05945e-08
1, 2, 8, 65536, 1073741824, 18000000, 8.98168e+07, 1.11338e-08
1, 2, 8, 131072, 1073741824, 18000000, 7.67473e+07, 1.30298e-08
1, 2, 8, 262144, 1073741824, 18000000, 6.56362e+07, 1.52355e-08
1, 2, 8, 4194304, 1073741824, 18000000, 2.9426e+07, 3.39836e-08
1, 2, 8, 8388608, 1073741824, 18000000, 1.53186e+07, 6.52802e-08
1, 2, 8, 16777216, 1073741824, 18000000, 1.22262e+07, 8.17916e-08
1, 2, 16, 4096, 1073741824, 34000000, 1.6457e+08, 6.07644e-09
1, 2, 16, 8192, 1073741824, 34000000, 1.63222e+08, 6.12662e-09
1, 2, 16, 16384, 1073741824, 34000000, 1.56151e+08, 6.40406e-09
1, 2, 16, 32768, 1073741824, 34000000, 1.46338e+08, 6.8335e-09
1, 2, 16, 65536, 1073741824, 34000000, 1.36882e+08, 7.30559e-09
1, 2, 16, 131072, 1073741824, 34000000, 1.08041e+08, 9.25571e-09
1, 2, 16, 262144, 1073741824, 34000000, 7.69797e+07, 1.29904e-08
1, 2, 16, 4194304, 1073741824, 34000000, 3.56443e+07, 2.80549e-08
1, 2, 16, 8388608, 1073741824, 34000000, 1.70668e+07, 5.85934e-08
1, 2, 16, 16777216, 1073741824, 34000000, 1.11386e+07, 8.97776e-08
1, 2, 32, 4096, 1073741824, 66000000, 2.40835e+08, 4.15221e-09
1, 2, 32, 8192, 1073741824, 66000000, 2.38685e+08, 4.18962e-09
1, 2, 32, 16384, 1073741824, 66000000, 2.21967e+08, 4.50517e-09
1, 2, 32, 32768, 1073741824, 66000000, 1.90111e+08, 5.26008e-09
1, 2, 32, 65536, 1073741824, 66000000, 1.67757e+08, 5.961e-09
1, 2, 32, 131072, 1073741824, 66000000, 1.25042e+08, 7.99733e-09
1, 2, 32, 262144, 1073741824, 66000000, 7.59777e+07, 1.31618e-08
1, 2, 32, 4194304, 1073741824, 66000000, 3.88175e+07, 2.57616e-08
1, 2, 32, 8388608, 1073741824, 66000000, 1.77339e+07, 5.63892e-08
1, 2, 32, 16777216, 1073741824, 66000000, 1.09243e+07, 9.15389e-08
1, 3, 0, 4096, 1073741824, 3000000, 2.02733e+07, 4.9326e-08
1, 3, 0, 8192, 1073741824, 3000000, 2.02413e+07, 4.9404e-08
1, 3, 0, 16384, 1073741824, 3000000, 2.02719e+07, 4.93293e-08
1, 3, 0, 32768, 1073741824, 3000000, 2.02781e+07, 4.93143e-08
1, 3, 0, 65536, 1073741824, 3000000, 2.02696e+07, 4.9335e-08
1, 3, 0, 131072, 1073741824, 3000000, 2.02716e+07, 4.933e-08
1, 3, 0, 262144, 1073741824, 3000000, 2.02801e+07, 4.93093e-08
1, 3, 0, 4194304, 1073741824, 3000000, 2.0231e+07, 4.9429e-08
1, 3, 0, 8388608, 1073741824, 3000000, 2.02766e+07, 4.9318e-08
1, 3, 0, 16777216, 1073741824, 3000000, 2.02827e+07, 4.9303e-08
1, 3, 1, 4096, 1073741824, 6000000, 3.88201e+07, 2.57598e-08
1, 3, 1, 8192, 1073741824, 6000000, 3.858e+07, 2.59202e-08
1, 3, 1, 16384, 1073741824, 6000000, 3.80235e+07, 2.62995e-08
1, 3, 1, 32768, 1073741824, 6000000, 3.70766e+07, 2.69712e-08
1, 3, 1, 65536, 1073741824, 6000000, 3.61361e+07, 2.76732e-08
1, 3, 1, 131072, 1073741824, 6000000, 3.54377e+07, 2.82185e-08
